,typesOrg,orgMainType,number,numberOrg
361,boys' school | coeducational school | heritage site | unified school district,educational institution,2,4
2025,zilla school,educational institution,1,1
28,academic institution | secondary school,educational institution,1,2
30,academic journal | magazine,company or gov. agency,1,2
32,academic publisher | academy,learned society,1,2
1987,united states state court,not classified organisation,1,1
404,building | public educational institution of the united states | university,university,1,3
1954,subcommittee,not classified organisation,1,1
1955,summary court,not classified organisation,1,1
1962,syndicate,not classified organisation,1,1
1963,television program,not classified organisation,1,1
1964,television station,not classified organisation,1,1
750,court | organization,not classified organisation,1,2
751,court | superior court,not classified organisation,1,2
753,court | tribunal,not classified organisation,1,2
754,court-martial | supreme court,not classified organisation,1,2
755,courthouse,not classified organisation,1,1
1971,tribunal judiciaire,not classified organisation,1,1
1972,truth and reconciliation commission,not classified organisation,1,1
1973,turnerschaft,not classified organisation,1,1
1977,umbrella organization,not classified organisation,1,1
1978,un fact-finding mission,not classified organisation,1,1
1981,united states article iv court | united states territorial court,not classified organisation,1,2
248,bank | business,company or gov. agency,1,2
249,bank | business | credit institution | public company,company or gov. agency,1,4
250,bank | business | public company,company or gov. agency,1,3
1150,high school | lyceum,educational institution,1,2
1151,high school | magnet school,educational institution,1,2
1152,high school | national secondary school,educational institution,1,2
357,boys' school | catholic school | secondary school | voluntary aided school,educational institution,1,4
359,boys' school | charitable organization | independent school | school,educational institution,1,4
362,boys' school | community school | grammar school | secondary school,educational institution,1,4
364,boys' school | foundation school | grammar school | secondary school,educational institution,1,4
365,boys' school | free school | grammar school | secondary school,educational institution,1,4
366,boys' school | grammar school,educational institution,1,2
367,boys' school | grammar school | independent school,educational institution,1,3
1127,han school,educational institution,1,1
1128,handel society,learned society,1,1
1132,heritage site | high school | selective school,educational institution,1,3
1118,gymnasium in germany | school | secondary school,educational institution,1,3
1181,higher education institution | higher education institution directly under ministry of education of the people’s republic of china | university | vice-ministerial level university,university,1,4
1183,higher education institution | institute of technology | public university | university,institute of technology,1,4
1184,higher education institution | institute | open-access publisher | public university,public university,1,4
1186,higher education institution | ministry-owned university | university,university,1,3
1187,higher education institution | naval academy,educational institution,1,2
643,colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution | women's colleges in the southern united states,educational institution,1,4
1154,high school | primary school,educational institution,1,2
1156,high school | primary school | secondary school,educational institution,1,3
1158,high school | private school | religious school,educational institution,1,3
1163,high school | public school | secondary school,educational institution,1,3
1167,high school | school | secondary school,educational institution,1,3
242,automobile manufacturer | business | enterprise | organization | public company,company or gov. agency,1,5
245,autonomous university | university in quebec,university,1,2
246,award,not classified organisation,1,1
247,bachelor's degree,not classified organisation,1,1
251,bank | business | state-owned enterprise of the united states,company or gov. agency,1,3
252,bank | concern | public company | stock exchange,company or gov. agency,1,4
253,bank | trust company,company or gov. agency,1,2
254,bar association,not classified organisation,1,1
255,bar association | government agency,company or gov. agency,1,2
256,barristers' chambers | law firm,not classified organisation,1,2
1173,higher education institution directly under ministry of education of the people’s republic of china | language school | university,university,1,3
1174,higher education institution directly under ministry of education of the people’s republic of china | public research university | vice-ministerial level university,university,1,3
1175,higher education institution directly under ministry of education of the people’s republic of china | public university,public university,1,2
1145,high school | historic district,educational institution,1,2
1146,high school | human settlement,educational institution,1,2
1106,grande école | military academy,public university,1,2
1107,group of humans,not classified organisation,1,1
1111,gymnasium (bavaria) | q1981640 | q2782287 | wirtschaftsgymnasium,educational institution,1,4
1115,gymnasium in germany | q1299593,educational institution,1,2
1117,gymnasium in germany | school building,educational institution,1,2
1096,grammar school | school,educational institution,1,2
1098,grand lodge,not classified organisation,1,1
1099,grand lodge | organization,not classified organisation,1,2
1100,grand établissement | grande école,public university,1,2
1210,historic district | liberal arts college in the united states,educational institution,1,2
1211,historic district | private not-for-profit educational institution,educational institution,1,2
1212,historic district | seminary,not classified organisation,1,2
1213,historic district | university campus,university,1,2
1215,historical commission for eastern europe,not classified organisation,1,1
1192,higher education institution | private educational institution | private not-for-profit educational institution,educational institution,1,3
1193,higher education institution | private educational institution | university,university,1,3
1194,higher education institution | private not-for-profit educational institution,educational institution,1,2
632,college | private not-for-profit educational institution | women's college,educational institution,1,3
634,college | publishing company,educational institution,1,2
353,boys' school | catholic school | comprehensive school | voluntary aided school,educational institution,1,4
355,boys' school | catholic school | independent school | university-preparatory school,university,1,4
1079,government organization,company or gov. agency,1,1
1237,hospital | medical university | public university,public university,1,3
1238,hospital | university hospital,university,1,2
1239,hospitaller order | religious military order,not classified organisation,1,2
1240,house of commons,not classified organisation,1,1
1195,higher education institution | private university | school,private university,1,3
1205,hispanic-serving institution | private not-for-profit educational institution | university,university,1,3
1207,historic building | palazzo | university college,university,1,3
1121,gymnasium | historic building,educational institution,1,2
1122,gymnasium | latin school | realschule,educational institution,1,3
1124,gymnasium | school,educational institution,1,2
1125,gymnasium | vocational school,educational institution,1,2
1085,grade of an order,not classified organisation,1,1
1089,graduate school | private not-for-profit educational institution,educational institution,1,2
1090,graduate university | national university | university,university,1,3
1091,graduating class,not classified organisation,1,1
1219,historical society | institute | nonprofit organization,research organisation,1,3
1221,historical society | learned society | nonprofit organization | trade union federation,learned society,1,4
1222,historical society | museum | nonprofit organization | state archives | trustee,scientific organisation,1,5
1223,historical society | organization,learned society,1,2
1224,historical society | text publication society,learned society,1,2
1228,historically black college or university | private not-for-profit educational institution | school,university,1,3
1235,hospital,not classified organisation,1,1
1103,grande école | higher education institution | institut d'études politiques,public university,1,3
1104,grande école | higher education institution | école normale supérieure,public university,1,3
1105,grande école | institut d'études politiques,public university,1,2
1068,government agency | licensing board | regulatory agency,company or gov. agency,1,3
1069,government agency | minister,company or gov. agency,1,2
1072,government agency | united states district court,company or gov. agency,1,2
1073,government agency | united states federal agency,company or gov. agency,1,2
1075,government body of australia | statutory authority,company or gov. agency,1,2
1078,government of the federal republic of germany,company or gov. agency,1,1
225,art academy | grande école | higher education institution | open-access publisher,public university,1,4
226,art academy | music school,educational institution,1,2
227,art academy | private not-for-profit educational institution,educational institution,1,2
228,art collection | literary society,learned society,1,2
1241,house of lords,not classified organisation,1,1
1242,house of representatives | lower house of u.s. state legislature,not classified organisation,1,2
1243,human rights organization | organization | umbrella organization,not classified organisation,1,3
1244,human settlement,not classified organisation,1,1
1245,human settlement | private not-for-profit educational institution | women's college,educational institution,1,3
1247,humanistic gymnasium | school building,educational institution,1,2
1251,imperial university of the russian empire | university,university,1,2
1252,incorporated society | organization,learned society,1,2
1254,independent agency of the united states government | regulatory agency,company or gov. agency,1,2
1255,independent agency of the united states government | state-owned enterprise of the united states,company or gov. agency,1,2
1260,institut d'études politiques,not classified organisation,1,1
1216,historical country | princely state,not classified organisation,1,2
652,collegiate university | nonprofit organization | university system,university,1,3
656,collège | kindergarten | primary school | secondary school,educational institution,1,4
661,colonial society | company,learned society,1,2
662,colonial society | organization | voluntary association,learned society,1,3
665,combined school | private school | secondary school,educational institution,1,3
1282,insurance broker | motor club | private security company | roadside assistance | travel agency,company or gov. agency,1,5
1283,insurance company | public company,company or gov. agency,1,2
1286,intelligence agency | training organization,not classified organisation,1,2
1265,institute of technology | national university | university,institute of technology,1,3
1272,institute of technology | public university | university,institute of technology,1,3
1273,institute of technology | research university,institute of technology,1,2
1275,institute | private university | sekolah tinggi,private university,1,3
1276,institute | research institute,research organisation,1,2
1277,institute | school,research organisation,1,2
1279,institution | international organization,not classified organisation,1,2
1280,institution | museum | nonprofit organization,scientific organisation,1,3
230,arts association | arts venue,not classified organisation,1,2
231,arts educational institution,educational institution,1,1
235,association under the french law of 1901 | professional association,not classified organisation,1,2
236,association | membership organization | organization,not classified organisation,1,3
237,association | nonprofit organization,scientific organisation,1,2
238,association | organization | think tank,not classified organisation,1,3
239,athenaeum,not classified organisation,1,1
1281,institutions of constitutional importance | judicial council,not classified organisation,1,2
1080,government organization | public prosecutor's office,company or gov. agency,1,2
1081,government program,company or gov. agency,1,1
1082,government | government organization | organization,company or gov. agency,1,3
1083,government | state government of the united states,company or gov. agency,1,2
1084,governor-general | position,not classified organisation,1,2
1063,government agency | independent agency of the united states government,company or gov. agency,1,2
646,colleges that change lives | liberal arts college | public educational institution of the united states,educational institution,1,3
647,collegiate secret societies in north america | fraternity | secret society,learned society,1,3
265,blast furnace | bruk,not classified organisation,1,2
1307,international organization | learned society | nonprofit organization | think tank,learned society,1,4
1308,international organization | non-governmental organization,company or gov. agency,1,2
1309,international organization | organization | professional association | women's organization,not classified organisation,1,4
1310,international organization | religious organization,not classified organisation,1,2
1287,intentional community | liberal arts college,educational institution,1,2
376,branch of service | military organization | military unit,not classified organisation,1,3
377,branch of service | military unit branch-type class | united states army formation | united states special operations forces,not classified organisation,1,4
378,brickworks,not classified organisation,1,1
379,broadcasting authority | government body of australia,company or gov. agency,1,2
383,building complex | higher education institution | military academy,educational institution,1,3
384,building complex | university,university,1,2
616,college | community college | educational institution | public educational institution of the united states | school | university campus,university,1,6
618,college | educational organization | higher education institution | organization | university,university,1,5
619,college | educational organization | higher education institution | public university,public university,1,4
620,college | further education college,educational institution,1,2
604,college of administration | educational institution | public educational institution | public university | university of applied sciences,public university,1,5
605,college of administration | police college | public educational institution | university of applied sciences,university,1,4
606,college of administration | public educational institution | university of applied sciences,university,1,3
1291,intergovernmental organization | public research university | university,university,1,3
1295,interior ministry | ministry of poland,not classified organisation,1,2
1296,intermediate appellate court | supreme court | trial court | united states state court,not classified organisation,1,4
1301,international court | war crimes trial,not classified organisation,1,2
1303,international non-governmental organization | international organization | nonprofit organization,scientific organisation,1,3
1304,international non-governmental organization | jewish organization | nonprofit organization,scientific organisation,1,3
666,comedy troupe,not classified organisation,1,1
668,commission of inquiry,not classified organisation,1,1
669,commission | consultant | institution,not classified organisation,1,3
260,bicameral legislature | legislature of a u.s. state,not classified organisation,1,2
261,bicameral legislature | parliament,not classified organisation,1,2
263,big city | city-state | einheitsgemeinde of germany | federated state of germany | free imperial city | hanseatic city | metropolis | port city | urban district of hamburg | urban municipality in germany,not classified organisation,1,10
264,big city | commune of france,not classified organisation,1,2
1345,justice ministry | ministry of finland,not classified organisation,1,2
1318,israeli government ministry | justice ministry,company or gov. agency,1,2
1322,jesuit school | school,educational institution,1,2
597,collection | organization | trust,not classified organisation,1,3
601,college athletic conference,educational institution,1,1
602,college for advanced studies,educational institution,1,1
1060,government agency | government body of australia | position,company or gov. agency,1,3
1061,government agency | government body of australia | prosecutor,company or gov. agency,1,3
1062,government agency | housing ministry,company or gov. agency,1,2
1041,girls' school | high school | independent school,educational institution,1,3
1043,girls' school | higher secondary school | urban school,educational institution,1,3
1045,girls' school | independent school | school | school building,educational institution,1,4
1046,girls' school | independent school | secondary school,educational institution,1,3
1050,golf course,not classified organisation,1,1
1051,gorsedd,not classified organisation,1,1
603,college in france,educational institution,1,1
1028,german public state broadcaster | local internet registry,not classified organisation,1,2
1029,german public state broadcaster | production company,company or gov. agency,1,2
1030,german school abroad,educational institution,1,1
209,archive | institute | museum,research organisation,1,3
210,archive | national archives,not classified organisation,1,2
212,archive | open-access publisher | public university,public university,1,3
214,archive | printing company | state-owned enterprise,company or gov. agency,1,3
608,college of music | conservatory | private not-for-profit educational institution | university building,university,1,4
373,boys' school | private school,educational institution,1,2
374,boys' school | public school,educational institution,1,2
1323,jesuit school | university-preparatory school,university,1,2
1324,jesuit university | liberal arts college | private university | research university,private university,1,4
1327,jesuit university | open-access publisher | private university,private university,1,3
1334,judenrat,not classified organisation,1,1
1338,judiciary | military organization,not classified organisation,1,2
1344,justice ministry | ministry,not classified organisation,1,2
1346,justice ministry | ministry of italy,not classified organisation,1,2
1348,justice ministry | ministry of the netherlands,not classified organisation,1,2
1349,justice ministry | state agency of the united states,not classified organisation,1,2
1356,kriegsakademie | military academy,educational institution,1,2
1360,labor union | non-governmental organization | nonprofit organization,scientific organisation,1,3
1052,governing body,not classified organisation,1,1
1053,governing body | organization,not classified organisation,1,2
1054,government,company or gov. agency,1,1
1055,government administration,company or gov. agency,1,1
1016,fürstenschule | school,educational institution,1,2
1017,gaelcholáiste,not classified organisation,1,1
1018,gaelcholáiste | nonprofit organization,scientific organisation,1,2
1019,galician political party,not classified organisation,1,1
1021,general education liceum | gymnasium,educational institution,1,2
1023,general staff,not classified organisation,1,1
1025,gentlemen's club | social club,not classified organisation,1,2
1001,former political party | führerpartei | political party in germany,not classified organisation,1,3
1004,foundation | human rights organization | nonprofit organization | research center,research organisation,1,4
1005,foundation | nonprofit organization,scientific organisation,1,2
1400,language school | military school,educational institution,1,2
1401,language school | university,university,1,2
1402,latin school,educational institution,1,1
1403,law commission | public organisation in hong kong,not classified organisation,1,2
220,armed organization | political ideology | political movement,not classified organisation,1,3
222,army aviation component | corps,not classified organisation,1,2
223,art academy,educational institution,1,1
583,church college | public university,public university,1,2
585,circuit court,not classified organisation,1,1
587,city in the united states | county seat,not classified organisation,1,2
588,civil decoration | order,not classified organisation,1,2
592,club | learned society,learned society,1,2
593,coast guard,not classified organisation,1,1
207,archive | higher education institution | library,educational institution,1,3
224,art academy | educational institution,educational institution,1,2
1362,laboratory,research facility,1,1
1363,laboratory | university,university,1,2
1364,land court,not classified organisation,1,1
1388,land-grant university | public educational institution of the united states | university campus,university,1,3
1390,land-grant university | university,university,1,2
1391,landeskirche,not classified organisation,1,1
1395,landtag,not classified organisation,1,1
1397,language regulator | learned society,learned society,1,2
1031,german school abroad | high school | international school | private school,educational institution,1,4
1038,girls' high school | high school in south korea,educational institution,1,2
991,foreigners' school,educational institution,1,1
992,former educational institution,educational institution,1,1
993,former educational institution | grammar school,educational institution,1,2
998,former entity | panel,not classified organisation,1,2
562,christian school | liberal arts college in the united states | private not-for-profit educational institution,educational institution,1,3
564,christian school | private not-for-profit educational institution | university,university,1,3
567,church college | college of music,educational institution,1,2
572,church college | educational institution,educational institution,1,2
1404,law enforcement agency,not classified organisation,1,1
1405,law enforcement agency | position,not classified organisation,1,2
1408,law firm | organization,not classified organisation,1,2
193,architectural landmark | school | school building,educational institution,1,3
194,architectural structure,not classified organisation,1,1
197,architectural structure | employer | grammar school,educational institution,1,3
198,architectural structure | faculty,university,1,2
200,architectural structure | lycée,not classified organisation,1,2
202,architectural structure | open-access publisher | university,university,1,3
203,architectural structure | school,educational institution,1,2
205,archive,not classified organisation,1,1
206,archive | collection | research institute,research organisation,1,3
673,committee | organization established by the united nations | treaty-based human rights body,not classified organisation,1,3
675,community college | dyad | educational organization | private not-for-profit educational institution | private university,private university,1,5
676,community college | educational institution | public educational institution of the united states,educational institution,1,3
679,community college | public educational institution of the united states | university,university,1,3
680,community college | school,educational institution,1,2
681,community school | girls' school | secondary school,educational institution,1,3
682,community school | secondary school,educational institution,1,2
544,charitable organization | educational organization | higher education institution | university,university,1,4
546,charitable organization | girls' school | high school | independent school,educational institution,1,4
550,charitable organization | international non-governmental organization | non-governmental organization | nonprofit organization,scientific organisation,1,4
551,charitable organization | international organization | non-governmental organization | nonprofit organization | service club,scientific organisation,1,5
208,archive | historical society,learned society,1,2
1409,law firm | public company,company or gov. agency,1,2
1410,law library,not classified organisation,1,1
560,christian school | girls' school,educational institution,1,2
561,christian school | high school | private school,educational institution,1,3
1455,liberal arts college | private not-for-profit educational institution | university campus,university,1,3
1459,library | public educational institution of the united states | university,university,1,3
575,church college | law school | private not-for-profit educational institution | university,university,1,4
1422,law society | professional association,learned society,1,2
1423,lawyers' association,not classified organisation,1,1
1428,learned society | open-access publisher,learned society,1,2
1429,learned society | open-access publisher | scientific society,learned society,1,3
1433,learned society | text publication society,learned society,1,2
1435,learned society | établissement public,learned society,1,2
1007,fraternal order,not classified organisation,1,1
1008,fraternal organization,not classified organisation,1,1
1012,free school,educational institution,1,1
1014,further education college | secondary school,educational institution,1,2
988,foreign affairs ministry | ministry,not classified organisation,1,2
671,committee of national security | security agency | state committee of the soviet union,not classified organisation,1,3
672,committee | human rights commission | organization established by the united nations,not classified organisation,1,3
556,christian denomination | united and uniting churches,not classified organisation,1,2
557,christian organization | parachurch organization | religious organization,not classified organisation,1,3
558,christian organization | private not-for-profit educational institution | university,university,1,3
1438,legislative bureau | ministries of japan,not classified organisation,1,2
1442,legislature,not classified organisation,1,1
1443,legislature | lower house | representative assembly,not classified organisation,1,3
684,company | organization related to nonviolence | wwii resistance group,company or gov. agency,1,3
685,competition regulator | united states federal agency,not classified organisation,1,2
972,felibrean school,educational institution,1,1
976,finance ministry | ministry of norway,not classified organisation,1,2
977,finance ministry | ministry of poland,not classified organisation,1,2
978,financial regulatory agency | independent agency of the united states government | regulatory agency,company or gov. agency,1,3
979,first order | mendicant order | organization,not classified organisation,1,3
980,fixed construction | private not-for-profit educational institution,educational institution,1,2
981,fixed construction | public educational institution of the united states,educational institution,1,2
982,fonds,not classified organisation,1,1
189,architectural landmark | congregational mosque | educational institution,educational institution,1,3
190,architectural landmark | congregational mosque | educational institution | religious complex,educational institution,1,4
192,architectural landmark | school,educational institution,1,2
1467,lower house,not classified organisation,1,1
1471,läroverk | normal school,educational institution,1,2
1472,madrasa | seminary,not classified organisation,1,2
1475,magnet school,educational institution,1,1
1476,marines,not classified organisation,1,1
1477,maritime college | military academy | q42058997,educational institution,1,3
1478,masonic lodge,not classified organisation,1,1
1479,mass media | news agency | radio station | state media,not classified organisation,1,4
1481,mathematical society | open-access publisher,learned society,1,2
1482,mausoleum | mosque,not classified organisation,1,2
1483,media company | university,university,1,2
1484,medical facility | medical school | research university,university,1,3
553,charitable organization | private school,educational institution,1,2
1486,medical school | public university,public university,1,2
1487,medical school | teaching hospital,educational institution,1,2
177,appellate court | court | labor court,not classified organisation,1,3
181,appellate court | united states state court,not classified organisation,1,2
183,archipelagic state | country | country | island country | republic | sovereign state,not classified organisation,1,6
185,architectural ensemble | building | organization | scientific society,scientific organisation,1,4
188,architectural landmark | building | embassy,not classified organisation,1,3
983,food manufacturer | public company,company or gov. agency,1,2
984,foreign affairs ministry,not classified organisation,1,1
986,foreign affairs ministry | ministries of denmark,not classified organisation,1,2
288,boarding school | charitable organization | hospital | independent school,educational institution,1,4
953,faculty | organization | private not-for-profit educational institution | university,university,1,4
955,family court,not classified organisation,1,1
956,federal agency of germany | research institute,research organisation,1,2
958,federal courts (germany) | patent court,not classified organisation,1,2
960,federal courts (germany) | supreme court | tax court,not classified organisation,1,3
1523,ministry of war | organization,not classified organisation,1,2
1524,mixed choir | orchestra,not classified organisation,1,2
1525,monument | university,university,1,2
1527,moroccan public institution | public research university,university,1,2
1491,middle school | normal school | public school | school,educational institution,1,4
1496,military academy | military university,university,1,2
1497,military academy | national defense university,university,1,2
1499,military academy | organization | think tank,educational institution,1,3
1501,military association | veterans' organization,not classified organisation,1,2
1502,military infantry school,educational institution,1,1
1503,military organization,not classified organisation,1,1
1506,military school | naval academy,educational institution,1,2
1507,military training facility,research facility,1,1
1508,military unit,not classified organisation,1,1
1509,military university | open-access publisher | public educational institution of the united states | staff college | university campus,university,1,5
1511,ministries of denmark,not classified organisation,1,1
940,faculty of science,university,1,1
941,faculty | faculty of history | faculty of humanities,university,1,3
275,boarding school | boys' school | charitable organization | independent school | school,educational institution,1,5
280,boarding school | boys' school | private school,educational institution,1,3
541,charitable organization | cultural institution | educational institution | international organization | nonprofit organization,educational institution,1,5
543,charitable organization | educational institution | girls' school | independent school,educational institution,1,4
1512,ministries of denmark | ministry of agriculture,not classified organisation,1,2
1513,ministries of denmark | ministry of education,not classified organisation,1,2
1515,ministry of communications | ministry of indonesia,not classified organisation,1,2
1516,ministry of health,not classified organisation,1,1
1517,ministry of indonesia,not classified organisation,1,1
1518,ministry of italy,not classified organisation,1,1
1519,ministry of poland | technology ministry,not classified organisation,1,2
1520,ministry of the colonies,not classified organisation,1,1
1521,ministry of the netherlands,not classified organisation,1,1
1522,ministry of the polish people's republic | paramilitary organization | public security ministry,not classified organisation,1,3
1551,national university | normal school | open-access publisher | research institute,university,1,4
1552,national university | open-access publisher,university,1,2
1530,motor club | organization,not classified organisation,1,2
534,central government | government,company or gov. agency,1,2
536,chamber of deputies | elected legislative house,not classified organisation,1,2
537,chancery | government agency,company or gov. agency,1,2
538,charitable corporation | nonprofit organization | sea rescue organization,scientific organisation,1,3
963,federal ministry in germany | foreign affairs ministry | government agency,company or gov. agency,1,3
964,federal office | higher federal authority | patent office,not classified organisation,1,3
965,federal police | gendarmerie | mounted police,not classified organisation,1,3
966,federal service (russian federation) | government agency,company or gov. agency,1,2
967,federal service (russian federation) | organization,not classified organisation,1,2
931,executive department of the philippines | justice ministry,not classified organisation,1,2
932,fachhochschule,not classified organisation,1,1
933,fachhochschule | military academy,educational institution,1,2
934,facility and other organ | training facility,research facility,1,2
349,book publisher | university,university,1,2
1570,non-governmental organization | organization,company or gov. agency,1,2
1571,non-governmental organization | organization | trade union federation,company or gov. agency,1,3
1572,non-governmental organization | organization | youth organisation,company or gov. agency,1,3
1573,non-governmental organization | professional association,company or gov. agency,1,2
1532,municipality of jordan,not classified organisation,1,1
1534,music college | q1595131,educational institution,1,2
1539,national art academy,educational institution,1,1
1540,national bank | retail bank,not classified organisation,1,2
1541,national olympic committee,not classified organisation,1,1
1543,national research institute,research organisation,1,1
1545,national secondary school,educational institution,1,1
1546,national section of uea | nonprofit organization,scientific organisation,1,2
1547,national trade union center,not classified organisation,1,1
1548,national trade union center | organization,not classified organisation,1,2
1550,national university | normal school,university,1,2
1589,nonprofit organization | religious organization | women's organization,scientific organisation,1,3
1560,new york state court | u.s. state supreme court,not classified organisation,1,2
1561,new zealand public service department,not classified organisation,1,1
1562,newsletter | publishing company | voluntary association,company or gov. agency,1,3
1564,noble family,not classified organisation,1,1
1568,non-governmental organization | nonprofit organization | professional association,scientific organisation,1,3
281,boarding school | boys' school | secondary school,educational institution,1,3
283,boarding school | building | independent school,educational institution,1,3
286,boarding school | charitable organization | coeducational school | independent school,educational institution,1,4
287,boarding school | charitable organization | girls' school | independent school | school,educational institution,1,5
922,estates assembly | parliament,not classified organisation,1,2
923,ethics council,not classified organisation,1,1
924,euthanasia centre in nazi germany | nursing home | psychiatric hospital,not classified organisation,1,3
925,executive board,not classified organisation,1,1
345,boarding school | university campus,university,1,2
348,book publisher | private university | research university,private university,1,3
1578,nonprofit organization | organization,scientific organisation,1,2
1579,nonprofit organization | pressure group,scientific organisation,1,2
1580,nonprofit organization | pressure group | zionist organization,scientific organisation,1,3
1581,nonprofit organization | primary school,scientific organisation,1,2
1583,nonprofit organization | professional association,scientific organisation,1,2
1586,nonprofit organization | publishing company | real estate company,scientific organisation,1,3
704,concerted school | monument (spain) | piarist school | piarist school building,educational institution,1,4
321,boarding school | independent school | preparatory school,educational institution,1,3
322,boarding school | independent school | preparatory school | school,educational institution,1,4
905,elected legislative house | lower house,not classified organisation,1,2
907,elective office | position,not classified organisation,1,2
908,electoral list | political coalition | political faction,not classified organisation,1,3
912,engineering college | grande école,public university,1,2
913,engineering college | higher education institution,educational institution,1,2
916,enterprise,not classified organisation,1,1
1587,nonprofit organization | regulatory agency,scientific organisation,1,2
1605,oberste bundesbehörde,not classified organisation,1,1
1607,ombudsman | position,not classified organisation,1,2
1608,open joint-stock company,company or gov. agency,1,1
1595,"nonprofit organization | version, edition or translation | voluntary association",scientific organisation,1,3
1599,normal school,educational institution,1,1
1600,normal school | primary school | public school,educational institution,1,3
161,air force academy | field operating agency,learned society,1,2
505,catholic university | jesuit school | open-access publisher | private university,private university,1,4
510,catholic university | open-access publisher,university,1,2
512,catholic university | open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | research institute,university,1,6
515,catholic university | open-access publisher | private university,private university,1,3
516,catholic university | open-access publisher | university,university,1,3
521,catholic university | private not-for-profit educational institution | university,university,1,3
525,cemetery,not classified organisation,1,1
162,airline,not classified organisation,1,1
1577,nonprofit organization | order of chivalry | patriotic society,scientific organisation,1,3
897,educational stage,not classified organisation,1,1
149,advocacy group | organization | umbrella organization,not classified organisation,1,3
150,advocacy group | think tank,not classified organisation,1,2
151,aerospace manufacturer | business | enterprise | organization | public company | rail vehicle manufacturer,company or gov. agency,1,6
154,agricultural college,educational institution,1,1
163,airline | crown corporation | public company,company or gov. agency,1,3
164,altherrenverein | schülerverbindung,not classified organisation,1,2
166,alumni association | organization,not classified organisation,1,2
167,anarchist organisation,not classified organisation,1,1
168,ancient city | big city | former capital | largest city | megacity | metropolitan municipality in turkey | port city,not classified organisation,1,7
171,anglican diocese,not classified organisation,1,1
173,antifascist organization | metaorganization | veterans' organization,not classified organisation,1,3
175,appellate court of south korea,not classified organisation,1,1
176,appellate court | court,not classified organisation,1,2
1602,normal school | school,educational institution,1,2
1603,obergericht,not classified organisation,1,1
1613,open-access publisher | organization | public university | university,public university,1,4
1617,open-access publisher | polytechnic | university,institute of technology,1,3
1622,open-access publisher | pontifical university | private university,private university,1,3
1630,open-access publisher | private not-for-profit educational institution | school of education,educational institution,1,3
145,advocacy group | eingetragener verein,not classified organisation,1,2
146,advocacy group | international organization,not classified organisation,1,2
917,enterprise | subsidiary,not classified organisation,1,2
918,environment ministry | ministry of norway,not classified organisation,1,2
919,environmental organization | nonprofit organization | organization established by the united nations,scientific organisation,1,3
920,episcopal conference,not classified organisation,1,1
921,esperanto club,not classified organisation,1,1
300,boarding school | day school | independent school | preparatory school,educational institution,1,4
301,boarding school | day school | independent school | secondary school,educational institution,1,4
304,boarding school | educational institution | high school | mixed-sex education | public school,educational institution,1,5
888,educational organization | higher education institution | public university | university,public university,1,4
896,educational organization | university,university,1,2
879,educational organization | higher education institution | open-access publisher | organization | university,university,1,5
290,boarding school | charitable organization | independent school | preparatory school,educational institution,1,4
1667,open-access publisher | university in ontario,university,1,2
1668,opposition to immigration | organization,not classified organisation,1,2
1669,order of chivalry | organization,not classified organisation,1,2
1670,order | organization,not classified organisation,1,2
1673,organization established by the united nations | peacekeeping mission,not classified organisation,1,2
155,agricultural school,educational institution,1,1
158,aided school | higher secondary school,educational institution,1,2
159,air force academy,learned society,1,1
160,air force academy | air force unit,learned society,1,2
1637,open-access publisher | production team | public university,public university,1,3
132,administrative agency in norway | public prosecutor's office,not classified organisation,1,2
133,administrative building | court of appeal,not classified organisation,1,2
134,administrative corps | army aviation component | military branch,not classified organisation,1,3
1609,open university | public university | publishing company,public university,1,3
136,administrative court | court | supreme court,not classified organisation,1,3
140,advisory board | collegiate body,not classified organisation,1,2
142,advisory group,not classified organisation,1,1
143,advocacy group,not classified organisation,1,1
144,advocacy group | christian organization | law firm | nonprofit organization,scientific organisation,1,4
1664,open-access publisher | swedish government agency | university,university,1,3
901,eingetragener verein | political movement,not classified organisation,1,2
902,eingetragener verein | studentenverbindung | turnerschaft,not classified organisation,1,3
904,elected legislative house | house of representatives | jurisdiction | legislative branch agency,not classified organisation,1,4
865,educational institution | school | secondary school,educational institution,1,3
867,educational institution | secondary school,educational institution,1,2
871,educational institution | university-preparatory school,university,1,2
872,educational organization,not classified organisation,1,1
873,educational organization | educational program | eingetragener verein | memory institution | nonprofit organization | public research institution in germany | scientific society | self-regulatory organization,research organisation,1,8
875,educational organization | gymnasium | kindergarten | primary school | religious school | seminary | university dormitory,university,1,7
876,educational organization | higher education institution | new university | open-access publisher | public university | publishing company | university,public university,1,7
1699,organization | student group,not classified organisation,1,2
1701,organization | student society | study group,learned society,1,3
1703,organization | think tank,not classified organisation,1,2
1674,organization | political party,not classified organisation,1,2
390,building | cultural property | upper secondary school in norway,educational institution,1,3
392,building | gentlemen's club,not classified organisation,1,2
393,building | government agency,company or gov. agency,1,2
394,building | gymnasieskola,educational institution,1,2
396,building | high school,educational institution,1,2
397,building | high school | language school | school,educational institution,1,4
400,building | monument | school,educational institution,1,3
497,catholic seminary | school,educational institution,1,2
499,catholic theological faculty,university,1,1
500,catholic theological faculty | church college | public educational institution,educational institution,1,3
501,catholic theological faculty | faculty | former entity,university,1,3
